Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
City of London,00AA,E09000001,8100,8,15.2,2538.1,11.1,23.2
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,26,5,10500,13.3,24.7
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,25.7,10,7428.6,10,26
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,25.4,8.7,9269.2,12.3,29.3
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,24.3,14.2,2985.3,12.8,24.6
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,20.1,14.2,3028.6,12.6,21.6
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,25.2,9.6,8357.1,11.5,26.5
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,32,5.4,12772.7,16.2,29
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,25.9,10.9,8692.3,16.2,25.2
Barking and Dagenham - Heath,00ABGF,E05000034,11150,26.2,11.5,5475,15,26
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,21.7,12.2,7281.3,11.4,24.9
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,26.9,11,5473.7,12.6,24.3
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,25.2,11.1,8250,14.8,26.5
Barking and Dagenham - River,00ABGK,E05000038,11950,26.5,9.9,3166.7,17.2,30.2
Barking and Dagenham - Thames,00ABGL,E05000039,18950,32.5,5,1867.1,15.6,27
Barking and Dagenham - Valence,00ABGM,E05000040,10250,25.5,11.3,7692.3,12.2,24.6
Barking and Dagenham - Village,00ABGN,E05000041,11050,24.8,11.1,5166.7,12.9,27.9
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,23.7,11.8,6781.3,12.8,22.8
Barnet - Brunswick Park,00ACFX,E05000043,17550,19.5,15.9,5218.8,10.8,16.5
Barnet - Burnt Oak,00ACFY,E05000044,19650,24.3,9.1,8857.1,11.9,25.3
Barnet - Childs Hill,00ACFZ,E05000045,21100,19.5,12.6,6516.1,12.2,16.9
Barnet - Colindale,00ACGA,E05000046,26600,22.8,7.5,8250,12.6,26
Barnet - Coppetts,00ACGB,E05000047,18050,19.5,11.1,6425.9,10,19.5
Barnet - East Barnet,00ACGC,E05000048,17100,20.6,14.8,4302.6,11.3,22.2
Barnet - East Finchley,00ACGD,E05000049,16850,19.2,13.6,6440,7.9,17.3
Barnet - Edgware,00ACGE,E05000050,17600,22.9,15.5,3017.9,10.9,17.1
Barnet - Finchley Church End,00ACGF,E05000051,16800,19,16.6,5925.9,6.6,11.6
Barnet - Garden Suburb,00ACGG,E05000052,16950,20.3,17.7,3436.2,6.3,12.5
Barnet - Golders Green,00ACGH,E05000053,24950,25.6,10.1,7150,8.7,16.4
Barnet - Hale,00ACGJ,E05000054,18250,22.5,14.4,3250,11.2,20.6
Barnet - Hendon,00ACGK,E05000055,19300,21.5,12,6625,7.4,19.1
Barnet - High Barnet,00ACGL,E05000056,16300,18.1,17.6,1873.5,4.5,16.1
Barnet - Mill Hill,00ACGM,E05000057,20000,21.9,14,2010.6,11.3,18.2
Barnet - Oakleigh,00ACGN,E05000058,16650,19.3,17.3,4833.3,7.8,16.9
Barnet - Totteridge,00ACGP,E05000059,16900,20.2,17,1795.5,9,17.9
Barnet - Underhill,00ACGQ,E05000060,17300,19.6,16.7,3554.3,7.9,19.5
Barnet - West Finchley,00ACGR,E05000061,17500,18.6,13.1,7590.9,8.5,14.5
Barnet - West Hendon,00ACGS,E05000062,19250,20.6,11.2,5279.4,9.8,16.5
Barnet - Woodhouse,00ACGT,E05000063,18700,18.6,13.8,6846.2,9.1,20.8
Bexley - Barnehurst,00ADGA,E05000064,10600,18.7,19.3,3672.4,9.1,24.8
Bexley - Belvedere,00ADGB,E05000065,12400,23.2,12.9,3828.1,11.8,28.4
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,18.3,19.1,6352.9,8.5,20
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,18,19.5,5285.7,9.7,15.8
Bexley - Brampton,00ADGE,E05000068,10600,16.6,23.3,5350,6.1,23.7
Bexley - Christchurch,00ADGF,E05000069,11350,18.1,18.6,4500,11.8,14.2
Bexley - Colyers,00ADGG,E05000070,11400,22.3,15,7093.8,11.1,26.6
Bexley - Crayford,00ADGH,E05000071,11950,20.9,14.6,2925,10.1,19.6
Bexley - Cray Meadows,00ADGJ,E05000072,11350,20.8,17.7,1583.3,14,25.4
Bexley - Danson Park,00ADGK,E05000073,11000,18.3,18,4092.6,11.5,22.9
Bexley - East Wickham,00ADGL,E05000074,11000,18.4,19.2,5022.7,10.9,23
Bexley - Erith,00ADGM,E05000075,12800,25.1,11.6,2614.6,13.4,29.9
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,18.2,16.7,6470.6,10.4,24.9
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,20.3,16.5,4791.7,13.3,22.4
Bexley - Longlands,00ADGQ,E05000078,10600,16.4,21.2,4096.2,8.2,17.4
Bexley - North End,00ADGR,E05000079,11850,26.7,10.6,2070.2,15.2,22.8
Bexley - Northumberland Heath,00ADGS,E05000080,10700,19.5,16.9,5972.2,11,22.5
Bexley - St. Mary's,00ADGT,E05000081,10550,17.7,22.4,2420.5,8.7,14.4
Bexley - St. Michael's,00ADGU,E05000082,11250,20.4,15.6,8071.4,9.1,22
Bexley - Sidcup,00ADGW,E05000083,11000,15.9,19.9,4092.6,10.4,18.4
Bexley - Thamesmead East,00ADGX,E05000084,12550,27.8,7.4,2583.3,17.1,28
Brent - Alperton,00AEGJ,E05000085,15300,19.8,10.1,7047.6,8.3,18.8
Brent - Barnhill,00AEGK,E05000086,16250,20.9,12.4,5366.7,10.8,25.1
Brent - Brondesbury Park,00AEGL,E05000087,13300,17.8,12.6,7794.1,8.3,22.9
Brent - Dollis Hill,00AEGM,E05000088,13650,24.1,12.2,5934.8,13.2,21.9
Brent - Dudden Hill,00AEGN,E05000089,15750,21.2,10.7,9117.6,15.6,26.7
Brent - Fryent,00AEGP,E05000090,14150,20.5,12.7,5129.6,10.5,21.2
Brent - Harlesden,00AEGQ,E05000091,17500,27.3,9,15772.7,15.8,29.3
Brent - Kensal Green,00AEGR,E05000092,15050,21.1,10.2,13681.8,11.6,27.1
Brent - Kenton,00AEGS,E05000093,12550,16.2,18.8,5413,5.8,21.6
Brent - Kilburn,00AEGT,E05000094,17550,19.5,9.4,19333.3,11.9,25.8
Brent - Mapesbury,00AEGU,E05000095,16000,17.2,9.4,11357.1,13.7,21.6
Brent - Northwick Park,00AEGW,E05000096,13300,16,13.7,4888.9,11.5,20.9
Brent - Preston,00AEGX,E05000097,15750,20.8,13,6541.7,13,23.8
Brent - Queens Park,00AEGY,E05000098,15500,20.5,9.9,10300,9.9,17.4
Brent - Queensbury,00AEGZ,E05000099,16800,19.8,12.4,8050,10.7,21.5
Brent - Stonebridge,00AEHA,E05000100,17600,26.7,9,4231.7,17,26.5
Brent - Sudbury,00AEHB,E05000101,15250,21.1,11.1,7238.1,10.6,25.9
Brent - Tokyngton,00AEHC,E05000102,18900,20,9.7,6160.7,13.1,27.2
Brent - Welsh Harp,00AEHD,E05000103,14000,21.5,12.1,6065.2,11.2,26.6
Brent - Wembley Central,00AEHE,E05000104,16150,19.1,10.6,9718.8,9.2,20.4
Brent - Willesden Green,00AEHF,E05000105,15950,19.1,8.2,10600,15,26.7
Bromley - Bickley,00AFGD,E05000106,15450,19.4,20.4,3132.7,7.3,12.5
Bromley - Biggin Hill,00AFGE,E05000107,10250,18,19.6,1222.9,8,14.1
Bromley - Bromley Common and Keston,00AFGF,E05000108,16250,20.7,17.1,1897.6,10.5,17.8
Bromley - Bromley Town,00AFGG,E05000109,18600,20.8,13.5,4797.3,5.8,13.3
Bromley - Chelsfield and Pratts Bottom,00AFGH,E05000110,14800,19.1,20.3,1166.7,4.2,11.3
Bromley - Chislehurst,00AFGJ,E05000111,15400,18.7,21.4,1461.5,6,15.5
Bromley - Clock House,00AFGK,E05000112,16050,21.6,12.4,6869.6,7.1,16.5
Bromley - Copers Cope,00AFGL,E05000113,15950,15.8,16.6,4772.7,7.8,13.3
Bromley - Cray Valley East,00AFGM,E05000114,15850,22.7,17.1,1176.7,9.1,22.2
Bromley - Cray Valley West,00AFGN,E05000115,17150,23.6,15.2,4371.8,8.4,18.3
Bromley - Crystal Palace,00AFGP,E05000116,12950,20.7,8.2,5478.3,9.6,23.8
